feature,mean_abs_shap,mean_shap,shap_std,share
dist_52w_low,0.00203508455814818,0.0005229686262208271,0.007800893434503082,0.16922013427226415
beta_63,0.00161896630914424,-2.9593956334300463e-05,0.0024389841960531108,0.13461931845473338
corr_mkt_63,0.0011011470720460592,0.00026866515867272054,0.0016331996144402134,0.09156192288869848
mom_6_1,0.0008972329891509842,0.00010413662888364809,0.0011169714844282447,0.07460618100104484
ret_252,0.0007921484477569429,0.00017124679234548873,0.002554074419128225,0.06586825405179805
parkinson_vol,0.0006795113957050633,2.7193215384647206e-05,0.0016974916287687911,0.05650232525245859
ret_126,0.0005944587838268042,6.191633188176302e-05,0.0008080489748252276,0.04943008132793965
amihud_illiq,0.0005388240589486497,-4.561640314276253e-05,0.0016347996013427923,0.044803975952422234
downside_vol,0.0005113997265337902,6.13137657710183e-06,0.0006461095854698401,0.04252360426221956
dist_52w_high,0.0004907560050313526,-1.638043632002631e-05,0.0013462465471820487,0.04080704987604679
ret_63,0.0004756437853072106,-2.896033105371153e-06,0.0007452114419365083,0.039550447618105104
ret_kurt,0.00035855273608977577,0.00022067504692368533,0.0009714816490418156,0.02981416270978441
alpha_63,0.0002583393184421841,-5.586726102366074e-05,0.0003998947408500793,0.021481276529546792
ret_skew,0.00024355778113928115,-5.596771165216896e-05,0.0004337311930630824,0.020252170978559858
mom_12_1,0.00018277741154235438,-4.8613963607868835e-06,0.00031375250110511626,0.015198198030296305
idio_vol_63,0.00016490853389370582,6.143613568135654e-05,0.0006694176632934938,0.013712375800997663
ma_cross,0.00014368306770010884,-1.9279228167677965e-05,0.00041322641586983763,0.011947448528127874
rsi_14,0.00014160992299038852,2.5980101379436047e-05,0.00044589561600354556,0.011775063638890677
vol_63,0.00012305260471483773,5.909578912840256e-05,0.00041129923731075526,0.010231996606246426
macd_norm,0.00010931805109414104,9.790359016328523e-06,0.000292415385344612,0.00908994921634398
vol_21,9.496718275168247e-05,-1.505218766311496e-05,0.00032700152882276953,0.007896654393231473
macd_hist,8.390043193405923e-05,-1.2999898670596855e-05,0.00016236676876816596,0.006976438546760716
px_to_ma_50,7.190819524213182e-05,2.5088710846598903e-06,0.00011986300625137426,0.005979267252276859
ret_21,6.236210769675967e-05,9.52165284447445e-06,0.00016973176639796026,0.005185496688918752
px_to_ma_21,5.3664948462459965e-05,3.111779290124641e-05,0.00014418307989239835,0.004462315704854553
px_to_ma_200,5.27170219002598e-05,1.498741546103364e-06,0.00013674303733829453,0.0043834942821802435
vol_ratio,4.7476579522306714e-05,6.307130822343943e-06,8.616540285581958e-05,0.0039477441511634685
log_dollar_volume,4.3810178049350046e-05,-1.2617171926693596e-06,0.00011176781400164247,0.0036428777282594923
vol_10,3.407989257377219e-05,-1.5346313486952253e-05,7.723369882356965e-05,0.002833790848752613
bollinger_z,1.1513953127573828e-05,2.406631130626016e-06,7.469963566515604e-05,0.0009574013455369805
dv_trend,7.182268335116052e-06,3.4559656656033914e-07,3.07146087868559e-05,0.0005972156818651827
ret_10,1.700108190759868e-06,-7.073971096334872e-08,1.7183474536051433e-05,0.0001413663796749291
px_to_ma_10,0.0,0.0,0.0,0.0
ret_1,0.0,0.0,0.0,0.0
ret_5,0.0,0.0,0.0,0.0
volume_ratio,0.0,0.0,0.0,0.0
