ticker,qlike_ewma,mse_ewma,qlike_har,mse_har,qlike_garch,mse_garch
CVNA,1.862226560603178,0.00019192811374891942,1.8702497567674183,0.00021130611319168552,1.9093546847653138,0.0002373518444074476
COIN,1.5196519015355028,3.796710905675384e-05,1.557043872493916,4.2738253759974476e-05,1.5851518513477214,3.629150028212733e-05
APP,2.000373268958353,7.666555331701995e-05,1.8822184577227572,7.843856171889598e-05,1.970401606051773,9.189152776721931e-05
HOOD,2.037867618457978,7.86494604192419e-05,1.7984148984604074,1.5268183059753124e-05,1.6439169200462056,1.6947006653785567e-05
MRNA,1.6261395063638735,2.2535228710001794e-05,1.6174968659779114,2.591801845482027e-05,1.5923206079170322,1.5092261339094719e-05
PLTR,2.1267770229500575,3.061850538096035e-05,1.9485394736449546,2.7561302255950967e-05,2.0778128229920547,3.0167071412771016e-05
TTD,2.3644760527922517,7.409122829701639e-05,3779652.154600072,7.67606535989886e-05,1.9706411320118673,5.87250115487219e-05
CLF,1.7930650988338839,2.255563702088851e-05,1.8040796408697388,2.403490091500552e-05,1.8232089785045962,2.4976553356908315e-05
SE,2.0429004206368324,3.0289574251679348e-05,1.987418719992568,3.3593950896129505e-05,1.822760278088916,2.724585601197599e-05
DDOG,1.8797559456906952,2.0593872239569808e-05,1.8002710988592336,1.90718331200864e-05,1.8902619154064726,2.2161128644002338e-05
ETSY,1.927832064740074,1.7145880785459893e-05,1.8382709210514363,1.2016884449088032e-05,1.8214541594313645,1.2392628283481067e-05
TSLA,2.0539399636932942,1.1623295647212367e-05,2494613.5846607485,1.1292652382292554e-05,1.7243217377893958,1.1089675851418557e-05
DASH,1.6175510216490165,7.788721056388177e-06,1.6144071852069892,5.6603130458857725e-06,1.6198974053585886,3.6031445367276488e-06
XYZ,1.713278666879756,1.1780458366153131e-05,1.6870298553768865,1.1981489284595757e-05,1.6295874248878082,1.2834537848901304e-05
AMD,2.360732763915052,2.8111236255921845e-05,2.2928560157833986,2.9386560813525162e-05,2.292742360708638,3.197178222202341e-05
CRWD,1.5989646863989515,9.399600625827188e-06,1.5574754047302066,4.83366763401279e-06,1.562974842360974,4.4956335899290575e-06
NCLH,1.8435449455773314,2.659323853456774e-05,1.8596941604959407,5.780247097912265e-05,1.7885874034985776,3.127369792947459e-05
FSLR,1.9043375092248453,2.1121302304279015e-05,1.870043352912317,2.200880910339099e-05,1.8637014797973426,2.1603774479262602e-05
AAL,1.79878974632579,1.6900139193148866e-05,1.8231545428596971,1.7504170537951698e-05,1.7770839941289736,1.7573981460216032e-05
UBER,1.7580313836021835,1.755563331165067e-05,1.6667703378828866,3.7598305999932627e-06,1.6950343819112945,3.688708201407517e-06
APA,1.6729435802363566,3.054722916022454e-05,1.7407314464683612,3.2986234819805736e-05,1.6867715780434698,3.457844116502281e-05
MU,1.735631876432934,5.718882251856564e-06,1.7476237959788594,5.958805555041681e-06,1.7225246117439732,4.821225843215026e-06
FCX,1.7698366848383211,7.969000087681352e-06,1.75622883162812,8.540361059363585e-06,1.7719475979427923,8.798863539901938e-06
CEG,1.9009756042750094,1.1733206749115847e-05,1.9862155821411023,1.414698606882932e-05,2.1994156536573035,1.891417300158383e-05
UAL,1.7314503761809203,9.548509787233614e-06,1.7238057777477436,9.770046435621862e-06,1.7379941418508984,1.0728270724602742e-05
NFLX,2.107233682558769,2.397031015082895e-05,2.060304362847689,2.3891730417992605e-05,1.980625126666181,2.087328913239374e-05
AA,1.8020742733635893,5.745067550660701e-06,1701198.3397474708,6.192074520197843e-06,1.8078198334302846,6.2890833817650065e-06
CCL,1.7595035462839725,1.651509408896759e-05,898640.6346490612,1.7854413475439192e-05,1.7536095528998248,1.8450742631424184e-05
RCL,1.8094994360308438,1.1089373793861915e-05,1.7975963024130561,1.141765510161961e-05,1.7806000133692679,1.2229061560545255e-05
